category,other_category,relationship,reason,confidence,source
Bean,Sweet corn,good,"The Three Sisters: the corn is the trellis and the bean fixes nitrogen. Measured against the same crops grown separately, the mix returns more per unit of ground.",verified,"Cryan et al., Plants People Planet 2025, Three Sisters vs monoculture; Virginia Cooperative Extension SPES-620, ""Companion Planting in Gardening"""
Marigold,Tomato,good,"French marigold roots release thiophenes, which suppress root-knot nematodes. This works as a solid stand grown for a season before the tomatoes, not as a few plants dotted along a border.",verified,"Virginia Cooperative Extension SPES-620, ""Companion Planting in Gardening"""
Squash (winter),Squash (summer),good,"A Blue Hubbard perimeter draws squash bugs, squash vine borer and cucumber beetles off the main planting. Sow the trap row a fortnight early so it is the bigger plant when they arrive.",verified,"Trap cropping review, Insects 2018 9(4):128 (doi:10.3390/insects9040128)"
Cucumber,Squash (winter),good,"The same Blue Hubbard trap row: cucumber beetles prefer it, and they carry bacterial wilt.",verified,"Trap cropping review, Insects 2018 9(4):128 (doi:10.3390/insects9040128)"
Squash (summer),Sweet corn,good,"The third of the Three Sisters. Broad leaves shade the ground between the corn, which keeps weeds down and the soil damper.",approx,"Cryan et al., Plants People Planet 2025, Three Sisters vs monoculture; Virginia Cooperative Extension SPES-620, ""Companion Planting in Gardening"""
Bean,Squash (summer),good,"The other pairing inside the Three Sisters; they compete for little, rooting at different depths.",approx,"Cryan et al., Plants People Planet 2025, Three Sisters vs monoculture; Virginia Cooperative Extension SPES-620, ""Companion Planting in Gardening"""
Dill,Cabbage,good,Dill flowers feed the parasitic wasps and ladybirds that work on cabbage worms and aphids. Letting it bolt is the point.,approx,"Virginia Cooperative Extension SPES-620, ""Companion Planting in Gardening"""
Broccoli,Dill,good,"The same umbel nectar, for the same beneficial insects.",approx,"Virginia Cooperative Extension SPES-620, ""Companion Planting in Gardening"""
Cauliflower,Dill,good,"The same umbel nectar, for the same beneficial insects.",approx,"Virginia Cooperative Extension SPES-620, ""Companion Planting in Gardening"""
Basil,Pepper,good,"Listed by extension as a pest-repellent pairing. The mechanism is given as aromatic, which is less specific than the marigold case.",approx,"Virginia Cooperative Extension SPES-620, ""Companion Planting in Gardening"""
Sweet corn,Tomato,bad,"Corn earworm and tomato fruitworm are the same insect, Helicoverpa zea. Growing both side by side keeps it fed through the season instead of leaving it a gap.",approx,"Virginia Cooperative Extension SPES-620, ""Companion Planting in Gardening"""
Basil,Tomato,good,"The best known pairing there is, and one of the least tested. Repeated everywhere; no trial has shown an effect on yield or on flavour.",generic,"Virginia Cooperative Extension SPES-620, ""Companion Planting in Gardening"""
Nasturtium,Squash (summer),good,Traditionally planted to pull aphids and squash bugs away from the vines. Widely repeated; the trap-crop evidence is for Blue Hubbard rather than for this.,generic,"Virginia Cooperative Extension SPES-620, ""Companion Planting in Gardening"""
Cucumber,Nasturtium,good,"The same traditional trap pairing, with the same thin evidence.",generic,"Virginia Cooperative Extension SPES-620, ""Companion Planting in Gardening"""
Bean,Onion,bad,"Alliums are said to check the growth of beans and peas. It is in every companion chart, including the extension ones, and rests on tradition rather than on a trial.",generic,"Virginia Cooperative Extension SPES-620, ""Companion Planting in Gardening"""
Bean,Garlic,bad,"The same traditional allium caution, with the same thin evidence.",generic,"Virginia Cooperative Extension SPES-620, ""Companion Planting in Gardening"""
Lettuce,Onion,bad,Listed as incompatible in the extension chart. No mechanism is given.,generic,"Virginia Cooperative Extension SPES-620, ""Companion Planting in Gardening"""
Garlic,Lettuce,bad,Listed as incompatible in the extension chart. No mechanism is given.,generic,"Virginia Cooperative Extension SPES-620, ""Companion Planting in Gardening"""
Southern pea,Onion,bad,"The allium-and-legume caution again, applied to cowpeas.",generic,"Virginia Cooperative Extension SPES-620, ""Companion Planting in Gardening"""
Cabbage,Tomato,bad,"The extension chart puts the cabbage family on the tomato’s avoid list. No mechanism is given, and the two are not in the same family, so crop rotation is not the reason.",generic,"Virginia Cooperative Extension SPES-620, ""Companion Planting in Gardening"""
