pest_key,name,latin_name,also_called,kind,affects_categories,severity,description,signs,consequence,look_alikes,monitoring,prevention,organic_controls,chemical_controls,beneficials,pollinator_risk,treatments
aphid,Aphids,Aphidoidea,Greenfly; blackfly; plant lice,pest,Tomato;Pepper;Eggplant;Cabbage;Broccoli;Cauliflower;Brussels sprouts;Kale;Lettuce;Spinach;Asian greens;Chinese cabbage;Bean;Southern pea;Pea;Cucumber;Squash (summer);Squash (winter);Okra,manageable,"Soft-bodied sap-suckers a millimetre or two long, in colonies on the newest growth and the undersides of leaves. They reproduce without mating and give birth to live young, so a handful in April is hundreds by the end of the month.","Curled, puckered or cupped new leaves. Sticky honeydew on the leaves below, and black sooty mould growing on it. Ants running up and down the stem. White cast skins that look like the aphids themselves.","Rarely kills an established plant, but it stunts seedlings, deforms new growth and makes a leafy crop unsaleable and unpleasant. The real cost is virus: aphids move mosaic and leaf-curl viruses between plants in seconds of probing, and a virus cannot be treated once it is in.",Whiteflies fly up in a cloud when the plant is shaken; aphids do not. Leafhoppers scuttle sideways. Curling from herbicide drift affects the whole plant at once and has no insects on it.,"Turn over the top three leaves of a few plants twice a week from the first warm spell, and again in autumn. Ants climbing a stem are the cheapest sign there is, and they are usually there before you can see an aphid.","Do not overfeed with nitrogen: soft fast growth is exactly what they breed on. Leave a flowering strip or let some coriander and dill bolt, which is what feeds the predators. Reflective mulch keeps them off young plants.","A hard jet of water knocks a colony off and most never climb back; repeat every few days. Insecticidal soap or horticultural oil sprayed on the undersides where they actually are, repeated after a week. Pinch out and bin the worst shoot tips. Deal with the ants, which farm aphids and drive the predators off.","Active ingredients registered for garden use include pyrethrins, azadirachtin from neem, and malathion. Avoid systemic neonicotinoids such as imidacloprid on anything that flowers or that bees visit; the residue is in the pollen for weeks.","Ladybird adults and larvae, lacewing larvae, hoverfly larvae, and parasitic wasps. A papery bronze aphid stuck to a leaf is a parasitised one -- leave it, it is a wasp nursery.",1,"Water jet, insecticidal soap or horticultural oil on the leaf undersides; deal with the ants; leave the ladybirds and the mummies alone."
spider_mite,Spider mites,Tetranychus urticae,Two-spotted mite; red spider mite,pest,Tomato;Pepper;Eggplant;Bean;Southern pea;Cucumber;Squash (summer);Squash (winter);Watermelon;Pumpkin;Strawberry;Okra,serious,"Not insects but mites, less than half a millimetre across. They thrive in hot, dry, dusty weather and a generation takes about a week at 30C, which is why an outbreak seems to arrive overnight in July.",Fine pale stippling on the upper leaf surface that goes bronze or grey. Fine webbing across leaf undersides and shoot tips. Leaves dropping from the bottom of the plant upward. Tap a leaf over white paper: the specks that walk are mites.,Heavy feeding takes away the plant's photosynthesis in exactly the weeks it should be filling fruit. Beans and melons can be killed outright; a tomato usually survives with a much smaller crop and sunscalded fruit where the canopy went.,"Thrips and lace bugs also stipple, but leave no webbing. Ozone injury and magnesium deficiency stipple or bronze without any mites under a hand lens -- always look before spraying.","From the first hot dry spell, check the undersides of lower leaves weekly with a hand lens. Dusty plants at the end of a row or beside a path are where it starts, every time.","Keep plants watered: drought-stressed plants are the ones that get hit. Hose dust off foliage in a dry spell. Avoid broad-spectrum insecticides, which kill the predatory mites and reliably cause the outbreak they were meant to prevent.","Spray water forcefully on the leaf undersides every few days. Horticultural oil or insecticidal soap, thoroughly, twice a week apart, because neither touches the eggs. Release predatory mites under cover. Remove and bag the worst leaves rather than shaking them over the row.","Garden miticides carry active ingredients such as sulfur, or bifenthrin among the synthetics. Pyrethroids are known to flare mite populations by killing their predators, so they are the wrong reach here. Never apply sulfur or oil in heat, and never within two weeks of each other: the combination burns leaves.","Predatory mites (Phytoseiulus, Neoseiulus), minute pirate bugs, sixspotted thrips, and the spider mite destroyer lady beetle.",0,"Water on the undersides; oil or soap twice, a week apart; keep the plants watered; do not reach for a pyrethroid."
whitefly,Whiteflies,Bemisia tabaci; Trialeurodes vaporariorum,Silverleaf whitefly; greenhouse whitefly,pest,Tomato;Pepper;Eggplant;Cucumber;Squash (summer);Squash (winter);Watermelon;Cabbage;Kale;Bean;Basil,serious,Tiny white moth-like sap-suckers that rise in a cloud when a plant is disturbed and settle straight back. The scale-like nymphs on the leaf undersides do most of the feeding and do not move at all.,"A cloud of white specks off the foliage when you brush past. Sticky honeydew and sooty mould. Yellowing and silvering of leaves. On tomato, irregular ripening -- the fruit stays hard and white inside.","A heavy population weakens the plant and coats the crop in mould, but the reason to take it seriously is virus: whiteflies transmit tomato yellow leaf curl and the cucurbit yellowing viruses, and those end the planting.",Whitefly adults look like tiny white moths; a true moth is bigger and does not settle in seconds. The nymphs are easily mistaken for scale insects or for leaf spots until you look under a lens.,Yellow sticky cards at canopy height catch them before the cloud is obvious. Check leaf undersides on transplants BEFORE you plant them: bought-in plants are how most gardens get them.,Inspect nursery plants and reject any with white specks underneath. Row cover on young plants. Remove and bag old infested crops rather than leaving them as a bridge to the next planting. Reflective mulch confuses the incoming adults.,"Vacuum the adults in the cool of the morning when they are sluggish. Insecticidal soap or horticultural oil on the undersides, repeated, since neither reaches the eggs. Yellow sticky traps for the adults. Pull and bag the worst plants -- one heavily infested plant reinfests a whole bed.","Insecticidal soap and horticultural oil are the mainstays; azadirachtin and pyrethrins are also registered. Whiteflies develop resistance quickly, so alternating chemistries matters more here than almost anywhere else. Avoid systemic neonicotinoids on flowering crops.","Encarsia and Eretmocerus parasitic wasps, lacewing larvae, minute pirate bugs, and big-eyed bugs.",1,"Soap or oil on leaf undersides, repeated; sticky traps; bag heavily infested plants; check every transplant before it goes in."
thrips,Thrips,Frankliniella spp.; Thrips tabaci,Western flower thrips; onion thrips,pest,Tomato;Pepper;Onion;Garlic;Bean;Cucumber;Cabbage;Lettuce;Watermelon;Squash (summer),serious,"Slender insects barely a millimetre long that rasp at leaf and petal tissue and drink what runs out. They shelter deep in buds and flowers, which is why a spray so often seems not to have worked.","Silvery streaks and flecks on leaves with tiny black varnish-like specks of frass in them. Deformed, scarred fruit. Onion leaves silvered from the base up. Shake a flower over white paper and watch for slivers that run.","Direct feeding scars fruit and checks onions badly in a dry year. The larger risk is tomato spotted wilt virus, which thrips carry and which has no cure: an infected plant is pulled, not treated.","The silvering resembles spider mite stippling, but there is no webbing and the frass specks are diagnostic. Wind scarring on young fruit looks similar and has no insects behind it.","Blue or yellow sticky cards, plus tapping flowers and onion leaf sheaths over white paper weekly from the first flowers. Populations spike when nearby weeds or grass are cut and the thrips move in.","Control weeds around the bed, but do not mow them off all at once in mid-season. Keep onions well watered. Use spotted-wilt-resistant tomato varieties where the virus is known. Reflective mulch delays arrival on young plants.","Insecticidal soap and spinosad both work but only reach the ones out in the open, so repeat treatments are the rule. Remove and bag spotted-wilt plants the day you find them. Sticky cards reduce a light population and tell you when to act on a heavy one.","Spinosad is the most effective active ingredient available to a garden. It is highly toxic to bees while wet and effectively harmless once dry, so it is applied at dusk and never on open flowers. Pyrethrins are registered; thrips resistance is widespread.","Minute pirate bugs, predatory mites (Amblyseius), lacewing larvae.",1,"Spinosad or insecticidal soap, at dusk and repeated; sticky cards; pull and bag any plant showing spotted wilt."
flea_beetle,Flea beetles,Phyllotreta spp.; Epitrix spp.,,pest,Eggplant;Radish;Turnip;Cabbage;Broccoli;Kale;Asian greens;Chinese cabbage;Tomato;Pepper;Potato;Spinach,serious,"Small dark beetles, two or three millimetres, that jump like fleas when disturbed. They overwinter as adults in leaf litter and hedge bottoms and arrive on the first warm days, which is exactly when seedlings are smallest.","Leaves shot through with round pinholes, heaviest at the edges of a bed and on the youngest leaves. In a bad year a seedling looks like lace.",A mature plant shrugs it off. A seedling does not: flea beetles are one of the few pests that reliably kill a stand of brassicas or eggplant outright in the first fortnight after emergence.,"Slug damage is ragged-edged, not round, and comes with slime. Hail makes bigger, more irregular holes and tears leaf edges.",Look at direct-sown brassicas and eggplant transplants every day for the first two weeks. Yellow sticky cards at soil level catch the first arrivals before the holes appear.,"Floating row cover from the day of sowing, sealed at the edges, is close to complete control and is the answer for direct-sown brassicas. Transplant larger, hardened plants rather than sowing in place where the pressure is known. Delay planting past the first spring flush. Clear leaf litter and weedy edges over winter.","Row cover, and it can stay on brassicas all season because they need no pollinator. Trap crops of a preferred host at the end of the bed. Kaolin clay makes leaves unpalatable. Spinosad and pyrethrins are both registered and both work on a heavy attack.","Spinosad, pyrethrins and carbaryl are registered for garden use against flea beetles. Spinosad is toxic to bees while wet, so it goes on at dusk; carbaryl is highly toxic to bees and should not be used on anything in flower.","Ground beetles, big-eyed bugs, and braconid wasps that parasitise the adults.",1,Row cover from day one is the whole answer for seedlings; kaolin clay or spinosad at dusk when they are already in.
cucumber_beetle,Cucumber beetles,Acalymma vittatum; Diabrotica undecimpunctata,Striped cucumber beetle; spotted cucumber beetle,pest,Cucumber;Squash (summer);Squash (winter);Pumpkin;Watermelon;Melon,fatal,"Yellow beetles about six millimetres long, either with three black stripes or with twelve spots. They feed on leaves, flowers and rinds, and the striped species carries the bacterium that causes bacterial wilt in its gut over winter.","Chewed leaves and ragged flowers on young cucurbits. Beetles inside the flowers in the morning. Scarring on melon and squash rinds. Later, a vine that wilts in the heat and does not recover overnight.","The chewing is survivable. Bacterial wilt is not: an infected cucumber or muskmelon vine dies, there is no treatment, and a handful of beetles feeding on a seedling is enough to do it. This is the pest that ends cucumber crops.","The spotted species is easily mistaken for a ladybird -- count the spots and look at the colour: a ladybird is domed and orange-red, this is flatter and yellow-green.","Check every cucurbit seedling daily from emergence until it is running. Look inside the flowers at first light, which is where they shelter. Any beetle at all on a seedling is worth acting on.","Row cover from sowing until the first female flowers, then off for pollination -- this is the single most effective thing available. Delay planting past the first emergence. Grow butternut and other Cucurbita moschata types, which are far less susceptible to wilt. Yellow sticky traps at the bed edge.",Row cover until flowering. Hand-picking morning and evening while numbers are low. Kaolin clay on the seedlings. Perimeter trap cropping with a preferred squash around the main planting. Pull and bag a wilting vine at once so it is not a reservoir.,"Pyrethrins, spinosad and carbaryl are registered for garden use. All three are hazardous to bees, and cucurbits depend entirely on bees, so any application goes on at dusk when the flowers have closed and never in the morning when they are open and being worked.","Tachinid flies parasitise the adults; soldier beetles, ground beetles and braconid wasps take eggs and larvae.",1,"Row cover to first flower, then hand-pick and use kaolin clay; spray only at dusk, and pull wilting vines the day you see them."
squash_bug,Squash bugs,Anasa tristis,,pest,Squash (summer);Squash (winter);Pumpkin;Cucumber;Watermelon;Melon,serious,"Flat grey-brown true bugs about 15 mm long that suck sap from stems and leaves and inject a toxin as they do it. The nymphs are grey with black legs and cluster in groups; the bronze, football-shaped eggs are laid in neat rows in the V of leaf veins.",Bronze egg clusters on leaf undersides in the angle of the veins. Yellow speckling on leaves that goes brown and crisp. Wilting that starts at one runner. A sharp smell when a bug is crushed.,"A young plant can be killed. An established one loses runners one at a time until the crop stops. They are also the vector of cucurbit yellow vine decline, which kills outright.","Very easily confused with the brown marmorated stink bug -- squash bugs are narrower with a more rectangular body, and they are on cucurbits and almost nothing else.","Check leaf undersides twice a week from the moment the plants run, looking for the egg rows rather than the adults. Lay a board or a shingle flat on the soil beside the plant: the adults gather under it overnight and can be collected at dawn.","Row cover until flowering. Clear and compost old vines promptly -- the adults overwinter in crop debris. Avoid heavy loose mulch right at the crown, which is where they hide. Rotate cucurbits away from last year's ground.","Scrape the egg masses off with a fingernail or lift them with tape; this is genuinely the most effective control and it takes minutes a week. Board traps at dawn. Insecticidal soap on the small grey nymphs, which is the only stage it works on -- an adult's back sheds it.","Pyrethrins, permethrin and carbaryl are registered. All are most effective against nymphs and largely wasted on adults, and all are hazardous to bees on a crop that cannot set fruit without them, so evening applications only.","The tachinid fly Trichopoda pennipes -- a white egg glued to a squash bug's back is that fly, so leave those bugs where they are. Ground beetles take the eggs.",1,Scrape off the egg rows weekly; board traps at dawn; soap on the nymphs only; clear old vines in autumn.
squash_vine_borer,Squash vine borer,Melittia cucurbitae,,pest,Squash (summer);Squash (winter);Pumpkin,fatal,A day-flying clearwing moth that looks like a wasp lays single eggs at the base of squash stems; the larva bores in and eats the stem out from the inside. There is one main generation in the north and often two further south.,"A vine that wilts in the afternoon and recovers, then wilts and does not. Sawdust-like frass, wet and orange, at the stem base or a leaf joint. A ragged hole in the stem. Cut the stem open lengthways and the fat white grub is inside.","The plant dies, usually just as it starts to crop, and no treatment reaches a larva already inside. This is the single most reliable way to lose summer squash and pumpkins east of the Rockies.","Bacterial wilt from cucumber beetles wilts a vine with no frass and no hole. Squash bug damage wilts one runner at a time from the leaf end, not the base.","Timing is the whole game. Adults emerge at roughly 1000 growing degree days on a 50F base accumulated from 1 January, which is late April to early May in central Texas and June further north. Yellow bowls of water catch the adults and tell you the flight has begun.","Row cover from planting until the first female flowers, removed for pollination -- if the flight is over by then, the crop is safe. Sow a second, later planting to grow through the flight. Grow Cucurbita moschata types such as butternut and tromboncino, whose dense solid stems the larvae usually cannot complete development in. Mound soil over leaf joints so the vine roots along its length and survives one severed stem.","Wrap the lower 30 cm of stem in foil or old stocking so the female cannot lay on it. Inject Bacillus thuringiensis kurstaki into the stem base weekly during the flight, before the larva is deep. Surgery works: slit the stem lengthways with a razor, remove the grub, and bury the wounded section so it roots.","Nothing reaches a larva inside a stem, so any spray is aimed at the adult during the flight and at the base of the plant. Registered garden actives include permethrin and carbaryl; both are hazardous to bees, and squash needs bees, so evenings only.",Few. Parasitoids exist but do not hold it below damaging levels in a garden.,1,"Row cover through the flight, moschata varieties, foil at the stem base, Bt injected weekly, and surgery when it is already in."
pickleworm,Pickleworm,Diaphania nitidalis,,pest,Squash (summer);Cucumber;Melon;Pumpkin;Squash (winter),serious,"A moth caterpillar of the warm south-east that bores into cucurbit flowers and then into the fruit. It does not overwinter far north and arrives later each season the further north you are, which is why an early crop escapes it.","A small hole in the fruit with wet green-brown frass pushed out of it. Buds and flowers chewed out. Cut the fruit open and the caterpillar, pale green with dark spots when young, is in the flesh.",The fruit is ruined and the damage is invisible until you pick it. In a bad year on a late planting almost nothing is fit to eat.,"The entry hole is easily mistaken for stink bug feeding, which leaves a pinprick and no frass.","Check flowers and small fruit twice a week from midsummer. The first sign is chewed blossoms, before any fruit is holed.",Plant early and harvest before the population builds -- this is the main control and it is free. Row cover over an autumn planting until flowering. Remove and bin infested fruit rather than composting it. Butternut and other C. moschata types are less preferred.,"Bacillus thuringiensis kurstaki applied to blossoms and small fruit in the evening, repeated weekly through the flight, catches the larvae before they bore in. Pick and destroy holed fruit.","Spinosad and pyrethrins are registered for garden use. Both must reach the larva before it enters the fruit, so timing to the blossom stage matters more than the choice. Both are hazardous to bees while wet -- apply at dusk.",Generalist predators only; nothing reliable once the larva is inside.,1,Plant early; Bt or spinosad on blossoms in the evening through the flight; bin holed fruit.
hornworm,Tomato and tobacco hornworm,Manduca quinquemaculata; Manduca sexta,Hornworm,pest,Tomato;Pepper;Eggplant;Potato;Tomatillo,manageable,"Very large green caterpillars, up to 10 cm, with diagonal stripes and a curved horn at the tail. Two or three eat more foliage in a night than everything else in the bed put together, and they are extraordinarily hard to see.","Whole leaves and even stems stripped, from the top of the plant down. Dark green-black droppings the size of a peppercorn on leaves and soil below -- look for the frass first, then look straight up.","Defoliation of a plant or two, which a healthy tomato recovers from but which exposes the fruit to sunscald. Rarely fatal, always dramatic.","Nothing else is this size. The two species differ in the colour of the horn and the shape of the stripes, and it makes no practical difference.","Walk the tomatoes twice a week looking for frass and stripped stems rather than for the caterpillar. A UV torch after dark makes them glow, and is by far the fastest way to find them.",Rotate away from last year's tomato ground -- they pupate in the soil beneath. Light cultivation after the crop destroys the pupae.,"Hand-picking is the whole answer in a garden: drop them in soapy water, or move them to a wild host if you would rather. Bacillus thuringiensis kurstaki works well on small larvae and not at all on a fully grown one.",Bt is the right tool and is the least disruptive thing on the shelf. Spinosad also works. Broad-spectrum insecticides are a poor trade here: they take the wasps that parasitise the hornworms with them.,Braconid wasps. A hornworm covered in white rice-like cocoons has been parasitised -- leave it exactly where it is; those wasps are the next generation of control.,0,"Hand-pick, using a UV torch after dark; Bt on small larvae; leave any hornworm carrying white cocoons."
